"county"	"total"	"thai_num"	"thai_per"	"thai_vwell"	"thai_vwell_per"	"thai_less"	"thai_less_per"	"engagement"	"environment"	"health"	"housing"	"neighborhood"	"opportunity"	"transportation"
"Matanuska-Susitna Borough, Alaska"	1294	111	0.0857805255023184	26	0.234234234234234	4	0.036036036036036	61	49	54	46	39	52	48
"Nome Census Area, Alaska"	92	0	0	0	NA	0	NA	61	49	54	46	39	52	48
"North Slope Borough, Alaska"	453	46	0.101545253863135	20	0.434782608695652	23	0.5	61	49	54	46	39	52	48
"Northwest Arctic Borough, Alaska"	55	7	0.127272727272727	4	0.571428571428571	3	0.428571428571429	61	49	54	46	39	52	48
"Petersburg Borough, Alaska"	56	0	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
"Prince of Wales-Hyder Census Area, Alaska"	39	0	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA
"Sitka City and Borough, Alaska"	540	5	0.00925925925925926	24	4.8	5	1	61	49	54	46	39	52	48
"Skagway Municipality, Alaska"	116	0	0	0	NA	2	Inf	61	49	54	46	39	52	48
"Southeast Fairbanks Census Area, Alaska"	73	0	0	0	NA	0	NA	61	49	54	46	39	52	48
"Valdez-Cordova Census Area, Alaska"	292	0	0	0	NA	0	NA	61	49	54	46	39	52	48
"Wade Hampton Census Area, Alaska"	34	0	0	0	NA	0	NA	61	49	54	46	39	52	48
"Wrangell City and Borough, Alaska"	80	2	0.025	2	1	0	0	61	49	54	46	39	52	48
"Yakutat City and Borough, Alaska"	22	0	0	0	NA	0	NA	61	49	54	46	39	52	48
"Yukon-Koyukuk Census Area, Alaska"	30	0	0	0	NA	0	NA	61	49	54	46	39	52	48
"Apache County, Arizona"	291	9	0.0309278350515464	9	1	0	0	25	57	21	58	27	35	44
"Cochise County, Arizona"	2266	129	0.0569285083848191	29	0.224806201550388	74	0.573643410852713	46	53	37	52	35	37	62
"Coconino County, Arizona"	2120	100	0.0471698113207547	18	0.18	44	0.44	51	49	57	51	36	40	57
"Gila County, Arizona"	326	9	0.0276073619631902	0	0	0	0	37	22	44	51	34	40	42
"Graham County, Arizona"	186	3	0.0161290322580645	0	0	3	1	30	61	31	54	32	48	45
"Greenlee County, Arizona"	21	0	0	0	NA	0	NA	45	42	32	48	40	78	50
"La Paz County, Arizona"	143	10	0.0699300699300699	0	0	0	0	24	63	25	54	27	38	34
"Maricopa County, Arizona"	144749	3021	0.0208706105050812	792	0.262164846077458	1356	0.448857994041708	34	45	53	38	50	55	47
"Mohave County, Arizona"	2365	19	0.0080338266384778	33	1.73684210526316	15	0.789473684210526	28	62	31	46	34	30	65
"Navajo County, Arizona"	565	0	0	0	NA	0	NA	39	71	26	58	28	30	41
"Pima County, Arizona"	26796	521	0.0194432004776832	320	0.614203454894434	162	0.310940499040307	37	50	56	46	46	41	46
"Pinal County, Arizona"	6616	66	0.00997581620314389	0	0	68	1.03030303030303	23	27	32	31	38	29	45
"Santa Cruz County, Arizona"	416	0	0	0	NA	0	NA	43	59	52	55	35	29	42
"Yavapai County, Arizona"	1783	98	0.0549635445877734	0	0	34	0.346938775510204	50	59	53	47	38	33	46
"Yuma County, Arizona"	2428	103	0.0424217462932455	116	1.12621359223301	23	0.223300970873786	17	51	41	47	45	43	38
"Arkansas County, Arkansas"	79	0	0	0	NA	0	NA	59	68	20	65	35	67	47
"Ashley County, Arkansas"	5	0	0	0	NA	0	NA	40	64	28	57	33	48	47
"Baxter County, Arkansas"	219	0	0	0	NA	0	NA	55	41	37	61	35	47	46
"Benton County, Arkansas"	7606	75	0.00986063633973179	39	0.52	24	0.32	49	55	50	47	42	60	54
"Boone County, Arkansas"	200	0	0	0	NA	0	NA	59	25	34	54	33	47	46
"Bradley County, Arkansas"	0	0	NA	0	NA	0	NA	37	43	5	61	32	39	44
"Calhoun County, Arkansas"	11	0	0	0	NA	0	NA	43	53	26	51	28	52	38
"Carroll County, Arkansas"	76	28	0.368421052631579	0	0	0	0	76	51	24	56	32	46	36
"Chicot County, Arkansas"	26	0	0	0	NA	0	NA	61	32	9	59	32	32	39
"Clark County, Arkansas"	140	0	0	0	NA	0	NA	53	52	43	62	31	45	45
"Clay County, Arkansas"	14	9	0.642857142857143	0	0	9	1	51	33	13	59	37	39	45
"Cleburne County, Arkansas"	58	24	0.413793103448276	0	0	24	1	45	34	34	51	27	36	38
"Cleveland County, Arkansas"	16	0	0	0	NA	0	NA	36	47	24	55	26	61	38
"Columbia County, Arkansas"	156	0	0	0	NA	0	NA	59	18	33	63	31	52	48
"Conway County, Arkansas"	13	0	0	0	NA	0	NA	59	54	23	61	29	45	37
"Craighead County, Arkansas"	1171	3	0.00256191289496157	0	0	2	0.666666666666667	48	58	32	56	38	47	58
"Crawford County, Arkansas"	984	50	0.0508130081300813	41	0.82	11	0.22	38	35	23	56	38	53	47
"Crittenden County, Arkansas"	99	0	0	0	NA	0	NA	31	26	30	59	38	49	37
"Cross County, Arkansas"	106	0	0	0	NA	0	NA	66	46	3	54	35	48	40
"Dallas County, Arkansas"	159	0	0	0	NA	0	NA	66	60	10	65	29	47	42
"Desha County, Arkansas"	0	0	NA	0	NA	0	NA	54	29	2	75	29	37	45
"Drew County, Arkansas"	10	0	0	0	NA	0	NA	57	60	26	60	33	43	41
"Faulkner County, Arkansas"	1400	0	0	0	NA	0	NA	45	73	45	51	38	64	47
"Franklin County, Arkansas"	59	0	0	0	NA	0	NA	36	34	21	54	34	41	40
"Fulton County, Arkansas"	148	0	0	0	NA	0	NA	28	52	18	60	27	44	34
"Garland County, Arkansas"	838	29	0.0346062052505967	0	0	0	0	61	59	36	56	31	43	61
"Grant County, Arkansas"	63	0	0	0	NA	0	NA	36	55	27	48	31	68	38
"Greene County, Arkansas"	41	0	0	0	NA	0	NA	43	51	31	52	34	61	47
"Hempstead County, Arkansas"	4	0	0	0	NA	0	NA	33	35	21	60	30	47	41
"Hot Spring County, Arkansas"	41	0	0	0	NA	0	NA	47	56	19	50	37	45	52
"Howard County, Arkansas"	4	0	0	0	NA	0	NA	38	34	35	57	34	71	41
"Independence County, Arkansas"	117	6	0.0512820512820513	0	0	0	0	50	55	36	53	30	56	40
"Izard County, Arkansas"	81	0	0	0	NA	0	NA	57	60	13	56	31	47	46
"Jackson County, Arkansas"	69	0	0	0	NA	0	NA	33	79	16	68	29	53	33
"Jefferson County, Arkansas"	613	13	0.0212071778140294	0	0	13	1	52	56	31	57	32	43	60
"Johnson County, Arkansas"	228	0	0	0	NA	0	NA	40	57	33	57	34	44	40
"Lafayette County, Arkansas"	14	0	0	0	NA	0	NA	35	60	21	62	31	32	35
"Lawrence County, Arkansas"	0	0	NA	0	NA	0	NA	33	60	19	61	35	48	36
"Lee County, Arkansas"	0	0	NA	0	NA	0	NA	35	49	29	73	31	29	36
"Lincoln County, Arkansas"	0	0	NA	0	NA	0	NA	20	32	25	61	33	43	38
"Little River County, Arkansas"	0	0	NA	0	NA	0	NA	36	57	18	62	33	50	43
"Logan County, Arkansas"	433	0	0	0	NA	0	NA	36	31	17	58	31	45	43
"Lonoke County, Arkansas"	451	14	0.0310421286031042	0	0	0	0	38	56	32	50	37	70	50
"Madison County, Arkansas"	80	0	0	0	NA	0	NA	48	60	30	59	30	35	33
"Marion County, Arkansas"	121	0	0	0	NA	0	NA	40	52	34	56	31	44	41
"Miller County, Arkansas"	87	0	0	0	NA	0	NA	49	49	36	65	34	47	42
"Mississippi County, Arkansas"	134	0	0	0	NA	0	NA	33	46	15	65	34	54	43
"Monroe County, Arkansas"	17	0	0	0	NA	0	NA	58	24	20	75	30	32	34
"Montgomery County, Arkansas"	60	0	0	0	NA	0	NA	48	50	35	55	33	27	50
"Nevada County, Arkansas"	121	0	0	0	NA	0	NA	59	40	23	57	34	49	31
"Newton County, Arkansas"	9	0	0	0	NA	0	NA	67	50	26	68	26	15	35
"Ouachita County, Arkansas"	54	0	0	0	NA	0	NA	45	60	29	68	33	51	43
"Perry County, Arkansas"	10	0	0	0	NA	0	NA	33	60	19	55	31	66	34
"Phillips County, Arkansas"	25	0	0	0	NA	0	NA	53	80	29	66	32	27	45
"Pike County, Arkansas"	51	2	0.0392156862745098	0	0	0	0	51	39	26	59	30	32	50
"Poinsett County, Arkansas"	11	0	0	0	NA	0	NA	47	52	21	71	36	54	39
"Polk County, Arkansas"	78	0	0	0	NA	0	NA	61	38	32	58	28	44	39
"Pope County, Arkansas"	397	0	0	0	NA	0	NA	46	38	37	56	36	65	44
"Prairie County, Arkansas"	13	0	0	0	NA	0	NA	38	57	22	61	36	40	41
"Pulaski County, Arkansas"	8139	74	0.00909202604742597	89	1.2027027027027	100	1.35135135135135	62	43	45	67	41	43	64
"Randolph County, Arkansas"	6	6	1	0	0	0	0	29	48	18	62	35	52	38
"St. Francis County, Arkansas"	57	0	0	0	NA	0	NA	39	40	25	67	30	31	40
"Saline County, Arkansas"	929	106	0.114101184068891	18	0.169811320754717	0	0	48	56	35	55	40	74	55
"Scott County, Arkansas"	355	20	0.0563380281690141	9	0.45	11	0.55	53	60	11	59	30	44	42
"Searcy County, Arkansas"	65	0	0	0	NA	0	NA	40	32	31	71	29	30	40
"Sebastian County, Arkansas"	5561	22	0.00395612299946053	11	0.5	45	2.04545454545455	51	51	32	55	40	59	54
"Sevier County, Arkansas"	87	0	0	0	NA	0	NA	41	60	3	57	34	55	43
"Sharp County, Arkansas"	216	0	0	0	NA	0	NA	60	38	28	58	33	46	41
"Stone County, Arkansas"	42	0	0	0	NA	0	NA	58	60	7	62	27	32	42
"Union County, Arkansas"	225	0	0	0	NA	0	NA	67	58	27	57	32	60	48
"Van Buren County, Arkansas"	15	0	0	0	NA	0	NA	57	50	23	51	23	41	35
"Washington County, Arkansas"	5152	235	0.0456133540372671	0	0	17	0.0723404255319149	49	52	54	56	42	49	56
"White County, Arkansas"	377	0	0	0	NA	0	NA	47	79	35	54	34	46	42
"Woodruff County, Arkansas"	0	0	NA	0	NA	0	NA	44	37	15	81	36	28	37
"Yell County, Arkansas"	163	0	0	0	NA	0	NA	28	29	20	58	32	48	41
"Alameda County, California"	424061	2289	0.00539780833417834	1001	0.437308868501529	1020	0.445609436435125	36	58	75	44	66	52	60
"Alpine County, California"	12	0	0	0	NA	0	NA	38	31	61	34	11	59	41
"Amador County, California"	501	0	0	8	Inf	0	NA	44	51	55	43	33	48	39
"Butte County, California"	9384	60	0.00639386189258312	62	1.03333333333333	12	0.2	37	57	48	47	44	45	66
"Calaveras County, California"	526	0	0	0	NA	0	NA	43	69	52	32	34	36	42
"Colusa County, California"	283	0	0	0	NA	0	NA	36	52	48	48	44	58	37
"Contra Costa County, California"	161381	1007	0.00623989193275541	677	0.672293942403178	410	0.407149950347567	35	56	69	39	59	56	57
"Del Norte County, California"	602	21	0.0348837209302326	3	0.142857142857143	18	0.857142857142857	25	81	47	52	38	52	51
"El Dorado County, California"	6885	27	0.00392156862745098	48	1.77777777777778	14	0.518518518518518	41	49	64	37	43	63	50
"Fresno County, California"	92096	604	0.00655837387074357	298	0.493377483443709	352	0.582781456953642	24	33	51	55	48	45	39
"Glenn County, California"	658	0	0	0	NA	0	NA	41	67	39	48	42	39	42
"Humboldt County, California"	3057	21	0.00686947988223749	0	0	11	0.523809523809524	50	70	50	48	45	47	54
"Imperial County, California"	2623	0	0	0	NA	0	NA	18	34	51	55	43	56	38
"Inyo County, California"	250	0	0	0	NA	0	NA	65	55	58	41	41	50	48
"Kern County, California"	37886	297	0.00783930739587183	128	0.430976430976431	140	0.471380471380471	20	19	47	34	49	45	40
"Kings County, California"	5530	23	0.00415913200723327	28	1.21739130434783	14	0.608695652173913	16	15	43	47	48	42	35
"Lake County, California"	767	1	0.00130378096479791	12	12	0	0	29	68	45	48	34	33	44
"Lassen County, California"	510	0	0	0	NA	4	Inf	30	61	47	52	36	44	47
"Los Angeles County, California"	1394349	25428	0.018236467340673	8738	0.343636935661476	14109	0.554860783388391	38	22	66	34	68	44	54
"Madera County, California"	3335	9	0.00269865067466267	0	0	0	0	24	32	42	42	45	48	31
"Marin County, California"	14565	195	0.0133882595262616	46	0.235897435897436	88	0.451282051282051	58	58	89	36	61	54	51
"Mariposa County, California"	232	0	0	0	NA	0	NA	55	47	45	45	30	38	38
"Mendocino County, California"	1570	20	0.0127388535031847	13	0.65	17	0.85	50	79	54	46	42	41	50
"Merced County, California"	19842	96	0.00483822195343211	12	0.125	79	0.822916666666667	18	33	42	44	45	42	34
"Modoc County, California"	52	2	0.0384615384615385	0	0	2	1	22	60	43	53	29	36	48
"Mono County, California"	116	0	0	0	NA	0	NA	52	44	77	45	33	53	61
"Monterey County, California"	26497	253	0.0095482507453674	162	0.640316205533597	83	0.328063241106719	29	63	67	43	53	43	43
"Napa County, California"	10362	76	0.00733449141092453	32	0.421052631578947	88	1.15789473684211	42	46	67	38	55	58	44
"Nevada County, California"	1476	17	0.0115176151761518	0	0	0	0	54	51	68	40	42	43	47
"Orange County, California"	573661	4253	0.0074137861907991	1510	0.355043498706795	2012	0.473077827415942	33	50	77	32	69	60	50
"Placer County, California"	23317	340	0.0145816357164301	73	0.214705882352941	115	0.338235294117647	54	43	71	42	53	62	52
"Plumas County, California"	198	0	0	0	NA	0	NA	67	43	36	49	33	20	48
"Riverside County, California"	138538	2371	0.0171144379159509	1001	0.422184732180515	1354	0.571067060312105	22	29	55	24	53	45	48
"Sacramento County, California"	214861	1067	0.00496600127524306	543	0.508903467666354	478	0.447985004686036	40	43	63	46	58	51	59
"San Benito County, California"	1205	0	0	0	NA	0	NA	28	73	55	29	52	73	54
"San Bernardino County, California"	136494	2569	0.018821340132167	958	0.372907746204749	1516	0.590112884390814	21	29	54	29	52	43	38
"San Diego County, California"	357998	2923	0.00816485008296136	1136	0.388641806363325	1249	0.427300718439959	40	42	71	37	61	52	52
"San Francisco County, California"	278274	2165	0.0077801016264545	635	0.293302540415704	1340	0.618937644341801	58	56	85	62	76	37	85
"San Joaquin County, California"	102469	140	0.00136626687095609	141	1.00714285714286	192	1.37142857142857	21	22	52	40	52	43	47
"San Luis Obispo County, California"	10205	116	0.0113669769720725	68	0.586206896551724	69	0.594827586206897	48	38	74	40	49	55	45
"San Mateo County, California"	192649	821	0.00426163644763274	367	0.447015834348356	387	0.471376370280146	34	60	82	29	66	57	49
"Santa Barbara County, California"	21738	335	0.0154108013616708	79	0.235820895522388	211	0.629850746268657	46	51	81	42	55	45	39
"Santa Clara County, California"	610916	2173	0.00355695382016513	1003	0.461573861021629	1047	0.481822365393465	27	49	80	39	63	59	48
"Santa Cruz County, California"	11686	139	0.0118945747047749	68	0.489208633093525	56	0.402877697841727	44	65	74	43	55	44	60
"Shasta County, California"	4462	100	0.0224114746750336	54	0.54	86	0.86	39	61	53	46	43	55	62
"Sierra County, California"	3	0	0	0	NA	0	NA	71	46	55	48	21	14	47
"Siskiyou County, California"	627	74	0.118022328548644	0	0	3	0.0405405405405405	57	62	51	55	34	40	50
"Solano County, California"	63233	256	0.00404851896952541	123	0.48046875	145	0.56640625	30	61	67	35	55	45	47
"Sonoma County, California"	19811	743	0.0375044167381758	435	0.585464333781965	272	0.366083445491252	43	68	70	54	56	46	53
"Stanislaus County, California"	27581	237	0.00859287190457199	98	0.413502109704641	0	0	25	31	51	39	52	47	47
"Sutter County, California"	13904	38	0.00273302646720368	0	0	14	0.368421052631579	20	49	57	40	46	41	61
"Tehama County, California"	805	0	0	0	NA	0	NA	38	37	39	51	38	46	43
"Trinity County, California"	159	61	0.383647798742138	19	0.311475409836066	0	0	45	69	44	48	31	28	44
"Tulare County, California"	14982	53	0.00353757842744627	11	0.207547169811321	7	0.132075471698113	19	28	44	46	45	45	32
"Tuolumne County, California"	770	6	0.00779220779220779	0	0	7	1.16666666666667	45	69	55	47	36	45	45
"Ventura County, California"	58479	452	0.00772927033636006	186	0.411504424778761	392	0.867256637168142	43	49	70	39	59	51	43
"Yolo County, California"	26954	217	0.00805075313497069	24	0.110599078341014	148	0.682027649769585	43	71	76	59	57	53	51
"Yuba County, California"	5149	61	0.0118469605748689	115	1.88524590163934	12	0.19672131147541	22	37	28	48	41	44	57
"Adams County, Colorado"	17191	437	0.0254202780524693	114	0.260869565217391	106	0.242562929061785	22	53	58	47	58	58	56
"Alamosa County, Colorado"	285	8	0.0280701754385965	8	1	0	0	59	69	54	61	35	44	49
"Arapahoe County, Colorado"	31069	508	0.0163507032733593	165	0.324803149606299	316	0.622047244094488	39	54	67	42	60	50	58
"Archuleta County, Colorado"	99	0	0	15	Inf	0	NA	75	74	60	50	29	31	50
"Baca County, Colorado"	6	2	0.333333333333333	0	0	2	1	47	61	29	60	30	26	38
"Bent County, Colorado"	56	0	0	7	Inf	0	NA	47	61	28	51	38	44	53
"Boulder County, Colorado"	12746	213	0.016711125058842	144	0.676056338028169	33	0.154929577464789	62	45	76	51	60	54	69
"Broomfield County, Colorado"	3541	50	0.014120304998588	13	0.26	13	0.26	42	57	71	37	60	61	58
"Chaffee County, Colorado"	58	0	0	0	NA	0	NA	70	73	67	53	42	50	52
"Cheyenne County, Colorado"	29	0	0	0	NA	0	NA	45	60	69	63	24	52	51
"Clear Creek County, Colorado"	83	0	0	0	NA	0	NA	64	40	64	39	38	59	34
"Conejos County, Colorado"	8	4	0.5	0	0	4	1	28	42	34	58	36	36	51
"Costilla County, Colorado"	27	0	0	0	NA	0	NA	32	60	39	52	30	13	40
"Crowley County, Colorado"	31	0	0	0	NA	0	NA	14	46	26	44	36	36	47
"Custer County, Colorado"	9	0	0	0	NA	0	NA	92	60	49	47	22	28	41
"Delta County, Colorado"	184	2	0.0108695652173913	0	0	0	0	63	69	46	46	32	29	45
"Denver County, Colorado"	22301	406	0.0182054616384915	111	0.273399014778325	157	0.386699507389163	55	58	73	72	66	32	68
"Dolores County, Colorado"	2	0	0	0	NA	0	NA	42	60	45	39	26	34	52
"Douglas County, Colorado"	11588	243	0.0209699689333794	33	0.135802469135802	114	0.469135802469136	44	59	79	29	56	68	49
"Eagle County, Colorado"	251	8	0.0318725099601594	0	0	8	1	63	43	81	45	36	37	40
"Elbert County, Colorado"	152	5	0.0328947368421053	5	1	0	0	36	80	57	22	38	73	47
"El Paso County, Colorado"	17095	164	0.00959344837671834	54	0.329268292682927	40	0.24390243902439	50	55	65	46	51	49	49
"Fremont County, Colorado"	563	31	0.0550621669626998	0	0	31	1	46	78	41	50	41	42	58
"Garfield County, Colorado"	392	0	0	0	NA	0	NA	58	58	59	42	45	58	45
"Gilpin County, Colorado"	18	0	0	0	NA	0	NA	69	60	60	30	22	66	56
"Grand County, Colorado"	210	0	0	0	NA	0	NA	77	59	54	46	29	61	53
"Gunnison County, Colorado"	144	0	0	0	NA	0	NA	86	64	66	41	38	44	67
"Hinsdale County, Colorado"	0	0	NA	0	NA	0	NA	100	60	69	43	8	30	37
"Huerfano County, Colorado"	11	0	0	0	NA	0	NA	38	51	47	63	31	28	37
"Jackson County, Colorado"	5	0	0	0	NA	0	NA	80	80	46	39	30	41	68
"Jefferson County, Colorado"	13961	282	0.0201991261370962	83	0.294326241134752	141	0.5	45	48	73	44	61	59	57
"Kiowa County, Colorado"	1	0	0	0	NA	0	NA	63	44	36	53	36	31	66
"Kit Carson County, Colorado"	39	0	0	0	NA	0	NA	62	61	39	59	35	62	43
"Lake County, Colorado"	80	0	0	0	NA	0	NA	76	59	30	55	38	41	47
"La Plata County, Colorado"	361	0	0	0	NA	0	NA	65	51	62	48	36	54	45
"Larimer County, Colorado"	5810	98	0.0168674698795181	21	0.214285714285714	34	0.346938775510204	72	40	70	49	47	48	47
"Las Animas County, Colorado"	89	0	0	0	NA	0	NA	59	51	43	59	35	38	52
"Lincoln County, Colorado"	4	1	0.25	0	0	1	1	59	60	19	56	31	46	44
"Logan County, Colorado"	350	0	0	0	NA	0	NA	45	26	49	59	38	41	57
