county,engagement,environment,health,housing,neighborhood,opportunity,transportation
Navajo+County+Arizona,Navajo+County+Arizona,39,71,26,58,28,30,41
Pima+County+Arizona,Pima+County+Arizona,37,50,56,46,46,41,46
Pinal+County+Arizona,Pinal+County+Arizona,23,27,32,31,38,29,45
Santa+Cruz+County+Arizona,Santa+Cruz+County+Arizona,43,59,52,55,35,29,42
Yavapai+County+Arizona,Yavapai+County+Arizona,50,59,53,47,38,33,46
Yuma+County+Arizona,Yuma+County+Arizona,17,51,41,47,45,43,38
Arkansas+County+Arkansas,Arkansas+County+Arkansas,59,68,20,65,35,67,47
Ashley+County+Arkansas,Ashley+County+Arkansas,40,64,28,57,33,48,47
Baxter+County+Arkansas,Baxter+County+Arkansas,55,41,37,61,35,47,46
Benton+County+Arkansas,Benton+County+Arkansas,49,55,50,47,42,60,54
Boone+County+Arkansas,Boone+County+Arkansas,59,25,34,54,33,47,46
Bradley+County+Arkansas,Bradley+County+Arkansas,37,43,5,61,32,39,44
Calhoun+County+Arkansas,Calhoun+County+Arkansas,43,53,26,51,28,52,38
Carroll+County+Arkansas,Carroll+County+Arkansas,76,51,24,56,32,46,36
Chicot+County+Arkansas,Chicot+County+Arkansas,61,32,9,59,32,32,39
Clark+County+Arkansas,Clark+County+Arkansas,53,52,43,62,31,45,45
Clay+County+Arkansas,Clay+County+Arkansas,51,33,13,59,37,39,45
Cleburne+County+Arkansas,Cleburne+County+Arkansas,45,34,34,51,27,36,38
Cleveland+County+Arkansas,Cleveland+County+Arkansas,36,47,24,55,26,61,38
Columbia+County+Arkansas,Columbia+County+Arkansas,59,18,33,63,31,52,48
Conway+County+Arkansas,Conway+County+Arkansas,59,54,23,61,29,45,37
Craighead+County+Arkansas,Craighead+County+Arkansas,48,58,32,56,38,47,58
Crawford+County+Arkansas,Crawford+County+Arkansas,38,35,23,56,38,53,47
Crittenden+County+Arkansas,Crittenden+County+Arkansas,31,26,30,59,38,49,37
Cross+County+Arkansas,Cross+County+Arkansas,66,46,3,54,35,48,40
Dallas+County+Arkansas,Dallas+County+Arkansas,66,60,10,65,29,47,42
Desha+County+Arkansas,Desha+County+Arkansas,54,29,2,75,29,37,45
Drew+County+Arkansas,Drew+County+Arkansas,57,60,26,60,33,43,41
Faulkner+County+Arkansas,Faulkner+County+Arkansas,45,73,45,51,38,64,47
Franklin+County+Arkansas,Franklin+County+Arkansas,36,34,21,54,34,41,40
Fulton+County+Arkansas,Fulton+County+Arkansas,28,52,18,60,27,44,34
Garland+County+Arkansas,Garland+County+Arkansas,61,59,36,56,31,43,61
Grant+County+Arkansas,Grant+County+Arkansas,36,55,27,48,31,68,38
Greene+County+Arkansas,Greene+County+Arkansas,43,51,31,52,34,61,47
Hempstead+County+Arkansas,Hempstead+County+Arkansas,33,35,21,60,30,47,41
Hot+Spring+County+Arkansas,Hot+Spring+County+Arkansas,47,56,19,50,37,45,52
Howard+County+Arkansas,Howard+County+Arkansas,38,34,35,57,34,71,41
Independence+County+Arkansas,Independence+County+Arkansas,50,55,36,53,30,56,40
Izard+County+Arkansas,Izard+County+Arkansas,57,60,13,56,31,47,46
Jackson+County+Arkansas,Jackson+County+Arkansas,33,79,16,68,29,53,33
Jefferson+County+Arkansas,Jefferson+County+Arkansas,52,56,31,57,32,43,60
Johnson+County+Arkansas,Johnson+County+Arkansas,40,57,33,57,34,44,40
Lafayette+County+Arkansas,Lafayette+County+Arkansas,35,60,21,62,31,32,35
Lawrence+County+Arkansas,Lawrence+County+Arkansas,33,60,19,61,35,48,36
Lee+County+Arkansas,Lee+County+Arkansas,35,49,29,73,31,29,36
Lincoln+County+Arkansas,Lincoln+County+Arkansas,20,32,25,61,33,43,38
Little+River+County+Arkansas,Little+River+County+Arkansas,36,57,18,62,33,50,43
Logan+County+Arkansas,Logan+County+Arkansas,36,31,17,58,31,45,43
Lonoke+County+Arkansas,Lonoke+County+Arkansas,38,56,32,50,37,70,50
Madison+County+Arkansas,Madison+County+Arkansas,48,60,30,59,30,35,33
Marion+County+Arkansas,Marion+County+Arkansas,40,52,34,56,31,44,41
Miller+County+Arkansas,Miller+County+Arkansas,49,49,36,65,34,47,42
Mississippi+County+Arkansas,Mississippi+County+Arkansas,33,46,15,65,34,54,43
Monroe+County+Arkansas,Monroe+County+Arkansas,58,24,20,75,30,32,34
Montgomery+County+Arkansas,Montgomery+County+Arkansas,48,50,35,55,33,27,50
Nevada+County+Arkansas,Nevada+County+Arkansas,59,40,23,57,34,49,31
Newton+County+Arkansas,Newton+County+Arkansas,67,50,26,68,26,15,35
Ouachita+County+Arkansas,Ouachita+County+Arkansas,45,60,29,68,33,51,43
Perry+County+Arkansas,Perry+County+Arkansas,33,60,19,55,31,66,34
Phillips+County+Arkansas,Phillips+County+Arkansas,53,80,29,66,32,27,45
Pike+County+Arkansas,Pike+County+Arkansas,51,39,26,59,30,32,50
Poinsett+County+Arkansas,Poinsett+County+Arkansas,47,52,21,71,36,54,39
Polk+County+Arkansas,Polk+County+Arkansas,61,38,32,58,28,44,39
Pope+County+Arkansas,Pope+County+Arkansas,46,38,37,56,36,65,44
Prairie+County+Arkansas,Prairie+County+Arkansas,38,57,22,61,36,40,41
Pulaski+County+Arkansas,Pulaski+County+Arkansas,62,43,45,67,41,43,64
Randolph+County+Arkansas,Randolph+County+Arkansas,29,48,18,62,35,52,38
St.+Francis+County+Arkansas,St.+Francis+County+Arkansas,39,40,25,67,30,31,40
Saline+County+Arkansas,Saline+County+Arkansas,48,56,35,55,40,74,55
Scott+County+Arkansas,Scott+County+Arkansas,53,60,11,59,30,44,42
Searcy+County+Arkansas,Searcy+County+Arkansas,40,32,31,71,29,30,40
Sebastian+County+Arkansas,Sebastian+County+Arkansas,51,51,32,55,40,59,54
Sevier+County+Arkansas,Sevier+County+Arkansas,41,60,3,57,34,55,43
Sharp+County+Arkansas,Sharp+County+Arkansas,60,38,28,58,33,46,41
Stone+County+Arkansas,Stone+County+Arkansas,58,60,7,62,27,32,42
Union+County+Arkansas,Union+County+Arkansas,67,58,27,57,32,60,48
Van+Buren+County+Arkansas,Van+Buren+County+Arkansas,57,50,23,51,23,41,35
Washington+County+Arkansas,Washington+County+Arkansas,49,52,54,56,42,49,56
White+County+Arkansas,White+County+Arkansas,47,79,35,54,34,46,42
Woodruff+County+Arkansas,Woodruff+County+Arkansas,44,37,15,81,36,28,37
Yell+County+Arkansas,Yell+County+Arkansas,28,29,20,58,32,48,41
Alameda+County+California,Alameda+County+California,36,58,75,44,66,52,60
Alpine+County+California,Alpine+County+California,38,31,61,34,11,59,41
Amador+County+California,Amador+County+California,44,51,55,43,33,48,39
Butte+County+California,Butte+County+California,37,57,48,47,44,45,66
Calaveras+County+California,Calaveras+County+California,43,69,52,32,34,36,42
Colusa+County+California,Colusa+County+California,36,52,48,48,44,58,37
Contra+Costa+County+California,Contra+Costa+County+California,35,56,69,39,59,56,57
Del+Norte+County+California,Del+Norte+County+California,25,81,47,52,38,52,51
El+Dorado+County+California,El+Dorado+County+California,41,49,64,37,43,63,50
Fresno+County+California,Fresno+County+California,24,33,51,55,48,45,39
Glenn+County+California,Glenn+County+California,41,67,39,48,42,39,42
Humboldt+County+California,Humboldt+County+California,50,70,50,48,45,47,54
Imperial+County+California,Imperial+County+California,18,34,51,55,43,56,38
Inyo+County+California,Inyo+County+California,65,55,58,41,41,50,48
Kern+County+California,Kern+County+California,20,19,47,34,49,45,40
Kings+County+California,Kings+County+California,16,15,43,47,48,42,35
Lake+County+California,Lake+County+California,29,68,45,48,34,33,44
Lassen+County+California,Lassen+County+California,30,61,47,52,36,44,47
Los+Angeles+County+California,Los+Angeles+County+California,38,22,66,34,68,44,54
Madera+County+California,Madera+County+California,24,32,42,42,45,48,31
Marin+County+California,Marin+County+California,58,58,89,36,61,54,51
Mariposa+County+California,Mariposa+County+California,55,47,45,45,30,38,38
Mendocino+County+California,Mendocino+County+California,50,79,54,46,42,41,50
Merced+County+California,Merced+County+California,18,33,42,44,45,42,34
Modoc+County+California,Modoc+County+California,22,60,43,53,29,36,48
Mono+County+California,Mono+County+California,52,44,77,45,33,53,61
Monterey+County+California,Monterey+County+California,29,63,67,43,53,43,43
Napa+County+California,Napa+County+California,42,46,67,38,55,58,44
Nevada+County+California,Nevada+County+California,54,51,68,40,42,43,47
Orange+County+California,Orange+County+California,33,50,77,32,69,60,50
Placer+County+California,Placer+County+California,54,43,71,42,53,62,52
Plumas+County+California,Plumas+County+California,67,43,36,49,33,20,48
Riverside+County+California,Riverside+County+California,22,29,55,24,53,45,48
Sacramento+County+California,Sacramento+County+California,40,43,63,46,58,51,59
San+Benito+County+California,San+Benito+County+California,28,73,55,29,52,73,54
San+Bernardino+County+California,San+Bernardino+County+California,21,29,54,29,52,43,38
San+Diego+County+California,San+Diego+County+California,40,42,71,37,61,52,52
San+Francisco+County+California,San+Francisco+County+California,58,56,85,62,76,37,85
San+Joaquin+County+California,San+Joaquin+County+California,21,22,52,40,52,43,47
San+Luis+Obispo+County+California,San+Luis+Obispo+County+California,48,38,74,40,49,55,45
San+Mateo+County+California,San+Mateo+County+California,34,60,82,29,66,57,49
Santa+Barbara+County+California,Santa+Barbara+County+California,46,51,81,42,55,45,39
Santa+Clara+County+California,Santa+Clara+County+California,27,49,80,39,63,59,48
Santa+Cruz+County+California,Santa+Cruz+County+California,44,65,74,43,55,44,60
Shasta+County+California,Shasta+County+California,39,61,53,46,43,55,62
Sierra+County+California,Sierra+County+California,71,46,55,48,21,14,47
Siskiyou+County+California,Siskiyou+County+California,57,62,51,55,34,40,50
Solano+County+California,Solano+County+California,30,61,67,35,55,45,47
Sonoma+County+California,Sonoma+County+California,43,68,70,54,56,46,53
Stanislaus+County+California,Stanislaus+County+California,25,31,51,39,52,47,47
Sutter+County+California,Sutter+County+California,20,49,57,40,46,41,61
Tehama+County+California,Tehama+County+California,38,37,39,51,38,46,43
Trinity+County+California,Trinity+County+California,45,69,44,48,31,28,44
Tulare+County+California,Tulare+County+California,19,28,44,46,45,45,32
Tuolumne+County+California,Tuolumne+County+California,45,69,55,47,36,45,45
Ventura+County+California,Ventura+County+California,43,49,70,39,59,51,43
Yolo+County+California,Yolo+County+California,43,71,76,59,57,53,51
Yuba+County+California,Yuba+County+California,22,37,28,48,41,44,57
Adams+County+Colorado,Adams+County+Colorado,22,53,58,47,58,58,56
Alamosa+County+Colorado,Alamosa+County+Colorado,59,69,54,61,35,44,49
Arapahoe+County+Colorado,Arapahoe+County+Colorado,39,54,67,42,60,50,58
Archuleta+County+Colorado,Archuleta+County+Colorado,75,74,60,50,29,31,50
Baca+County+Colorado,Baca+County+Colorado,47,61,29,60,30,26,38
Bent+County+Colorado,Bent+County+Colorado,47,61,28,51,38,44,53
Boulder+County+Colorado,Boulder+County+Colorado,62,45,76,51,60,54,69
Broomfield+County+Colorado,Broomfield+County+Colorado,42,57,71,37,60,61,58
Chaffee+County+Colorado,Chaffee+County+Colorado,70,73,67,53,42,50,52
Cheyenne+County+Colorado,Cheyenne+County+Colorado,45,60,69,63,24,52,51
Clear+Creek+County+Colorado,Clear+Creek+County+Colorado,64,40,64,39,38,59,34
Conejos+County+Colorado,Conejos+County+Colorado,28,42,34,58,36,36,51
Costilla+County+Colorado,Costilla+County+Colorado,32,60,39,52,30,13,40
Crowley+County+Colorado,Crowley+County+Colorado,14,46,26,44,36,36,47
Custer+County+Colorado,Custer+County+Colorado,92,60,49,47,22,28,41
Delta+County+Colorado,Delta+County+Colorado,63,69,46,46,32,29,45
Denver+County+Colorado,Denver+County+Colorado,55,58,73,72,66,32,68
Dolores+County+Colorado,Dolores+County+Colorado,42,60,45,39,26,34,52
Douglas+County+Colorado,Douglas+County+Colorado,44,59,79,29,56,68,49
Eagle+County+Colorado,Eagle+County+Colorado,63,43,81,45,36,37,40
Elbert+County+Colorado,Elbert+County+Colorado,36,80,57,22,38,73,47
El+Paso+County+Colorado,El+Paso+County+Colorado,50,55,65,46,51,49,49
Fremont+County+Colorado,Fremont+County+Colorado,46,78,41,50,41,42,58
Garfield+County+Colorado,Garfield+County+Colorado,58,58,59,42,45,58,45
Gilpin+County+Colorado,Gilpin+County+Colorado,69,60,60,30,22,66,56
Grand+County+Colorado,Grand+County+Colorado,77,59,54,46,29,61,53
Gunnison+County+Colorado,Gunnison+County+Colorado,86,64,66,41,38,44,67
Hinsdale+County+Colorado,Hinsdale+County+Colorado,100,60,69,43,8,30,37
Huerfano+County+Colorado,Huerfano+County+Colorado,38,51,47,63,31,28,37
Jackson+County+Colorado,Jackson+County+Colorado,80,80,46,39,30,41,68
Jefferson+County+Colorado,Jefferson+County+Colorado,45,48,73,44,61,59,57
Kiowa+County+Colorado,Kiowa+County+Colorado,63,44,36,53,36,31,66
Kit+Carson+County+Colorado,Kit+Carson+County+Colorado,62,61,39,59,35,62,43
Lake+County+Colorado,Lake+County+Colorado,76,59,30,55,38,41,47
La+Plata+County+Colorado,La+Plata+County+Colorado,65,51,62,48,36,54,45
Larimer+County+Colorado,Larimer+County+Colorado,72,40,70,49,47,48,47
Las+Animas+County+Colorado,Las+Animas+County+Colorado,59,51,43,59,35,38,52
Lincoln+County+Colorado,Lincoln+County+Colorado,59,60,19,56,31,46,44
Logan+County+Colorado,Logan+County+Colorado,45,26,49,59,38,41,57
Mesa+County+Colorado,Mesa+County+Colorado,53,45,61,48,44,44,63
Mineral+County+Colorado,Mineral+County+Colorado,100,60,71,40,21,0,63
Moffat+County+Colorado,Moffat+County+Colorado,60,78,46,52,39,54,55
Montezuma+County+Colorado,Montezuma+County+Colorado,54,76,53,53,35,35,47
Montrose+County+Colorado,Montrose+County+Colorado,54,57,52,51,38,47,56
Morgan+County+Colorado,Morgan+County+Colorado,52,45,38,56,46,58,48
Otero+County+Colorado,Otero+County+Colorado,63,41,28,60,39,44,51
Ouray+County+Colorado,Ouray+County+Colorado,94,60,69,25,27,53,43
Park+County+Colorado,Park+County+Colorado,57,66,52,34,28,76,47
Phillips+County+Colorado,Phillips+County+Colorado,57,60,38,59,37,63,69
Pitkin+County+Colorado,Pitkin+County+Colorado,86,70,86,51,35,44,52
Prowers+County+Colorado,Prowers+County+Colorado,50,54,29,62,41,36,54
Pueblo+County+Colorado,Pueblo+County+Colorado,48,71,55,53,40,46,58
Rio+Blanco+County+Colorado,Rio+Blanco+County+Colorado,72,74,50,52,39,74,49
Rio+Grande+County+Colorado,Rio+Grande+County+Colorado,66,52,46,61,39,44,48
Routt+County+Colorado,Routt+County+Colorado,79,59,78,41,35,66,53
Saguache+County+Colorado,Saguache+County+Colorado,39,61,46,61,27,19,61
San+Juan+County+Colorado,San+Juan+County+Colorado,55,80,46,39,24,50,41
San+Miguel+County+Colorado,San+Miguel+County+Colorado,83,78,80,57,33,51,63
Sedgwick+County+Colorado,Sedgwick+County+Colorado,84,60,24,67,33,31,34
Summit+County+Colorado,Summit+County+Colorado,58,73,90,45,35,58,40
Teller+County+Colorado,Teller+County+Colorado,82,62,68,39,39,49,54
Washington+County+Colorado,Washington+County+Colorado,48,46,41,51,31,43,55
Weld+County+Colorado,Weld+County+Colorado,43,53,52,43,48,45,49
Yuma+County+Colorado,Yuma+County+Colorado,58,58,46,56,38,55,56
Fairfield+County+Connecticut,Fairfield+County+Connecticut,64,46,68,52,56,42,42
Hartford+County+Connecticut,Hartford+County+Connecticut,62,58,54,54,54,58,42
Litchfield+County+Connecticut,Litchfield+County+Connecticut,73,63,56,42,46,46,39
Middlesex+County+Connecticut,Middlesex+County+Connecticut,68,48,62,35,50,69,35
New+Haven+County+Connecticut,New+Haven+County+Connecticut,55,53,53,44,52,49,40
New+London+County+Connecticut,New+London+County+Connecticut,63,50,52,49,48,57,30
Tolland+County+Connecticut,Tolland+County+Connecticut,47,52,57,42,50,75,41
Windham+County+Connecticut,Windham+County+Connecticut,57,64,46,51,47,30,39
Kent+County+Delaware,Kent+County+Delaware,45,49,40,51,40,57,52
New+Castle+County+Delaware,New+Castle+County+Delaware,57,29,59,52,56,48,52
Sussex+County+Delaware,Sussex+County+Delaware,51,49,40,52,33,44,50
District+of+Columbia+District+of+Columbia,District+of+Columbia+District+of+Columbia,86,32,60,69,69,20,75
Alachua+County+Florida,Alachua+County+Florida,54,58,32,53,41,29,55
Baker+County+Florida,Baker+County+Florida,47,76,33,41,35,56,33
Bay+County+Florida,Bay+County+Florida,68,49,33,52,37,51,50
Bradford+County+Florida,Bradford+County+Florida,48,55,13,47,33,25,39
Brevard+County+Florida,Brevard+County+Florida,55,44,43,59,42,47,42
Broward+County+Florida,Broward+County+Florida,51,41,57,34,54,38,52
Calhoun+County+Florida,Calhoun+County+Florida,55,60,2,55,32,41,44
Charlotte+County+Florida,Charlotte+County+Florida,57,49,46,49,38,28,46
Citrus+County+Florida,Citrus+County+Florida,55,62,34,45,35,28,46
Clay+County+Florida,Clay+County+Florida,62,44,45,35,43,61,48
Collier+County+Florida,Collier+County+Florida,54,53,60,52,42,19,49
Columbia+County+Florida,Columbia+County+Florida,47,62,22,51,33,38,33
DeSoto+County+Florida,DeSoto+County+Florida,38,45,17,52,31,31,45
Dixie+County+Florida,Dixie+County+Florida,41,30,10,37,22,22,42
Duval+County+Florida,Duval+County+Florida,70,49,46,50,43,42,46
Escambia+County+Florida,Escambia+County+Florida,70,64,38,55,39,48,44
Flagler+County+Florida,Flagler+County+Florida,49,62,41,38,37,34,41
Franklin+County+Florida,Franklin+County+Florida,67,36,32,59,27,34,47
Gadsden+County+Florida,Gadsden+County+Florida,61,57,23,61,31,40,46
Gilchrist+County+Florida,Gilchrist+County+Florida,36,60,16,46,33,52,35
Glades+County+Florida,Glades+County+Florida,43,42,16,49,27,13,37
Gulf+County+Florida,Gulf+County+Florida,48,38,33,54,33,37,44
Hamilton+County+Florida,Hamilton+County+Florida,29,64,18,60,29,42,33
Hardee+County+Florida,Hardee+County+Florida,50,60,27,55,33,27,34
Hendry+County+Florida,Hendry+County+Florida,38,60,29,49,32,28,43
Hernando+County+Florida,Hernando+County+Florida,46,50,30,44,39,32,30
Highlands+County+Florida,Highlands+County+Florida,55,52,31,54,35,26,49
Hillsborough+County+Florida,Hillsborough+County+Florida,64,41,48,36,52,42,49
Holmes+County+Florida,Holmes+County+Florida,45,80,15,53,30,35,35
Indian+River+County+Florida,Indian+River+County+Florida,60,71,53,52,39,22,60
Jackson+County+Florida,Jackson+County+Florida,50,44,22,60,29,41,35
Jefferson+County+Florida,Jefferson+County+Florida,61,56,28,56,30,34,29
Lafayette+County+Florida,Lafayette+County+Florida,46,60,11,49,29,16,43
Lake+County+Florida,Lake+County+Florida,54,53,34,48,39,52,42
Lee+County+Florida,Lee+County+Florida,50,68,47,51,43,24,54
Leon+County+Florida,Leon+County+Florida,77,63,48,51,42,35,60
Levy+County+Florida,Levy+County+Florida,54,47,17,53,27,24,38
Liberty+County+Florida,Liberty+County+Florida,33,50,20,43,29,40,41
Madison+County+Florida,Madison+County+Florida,42,59,15,60,27,28,37
Manatee+County+Florida,Manatee+County+Florida,59,70,52,47,41,29,46
